host,port,tcp_connect_ms,image_mode,image_count,jpeg_quality,repeat,raw_image_bytes,encoded_image_bytes,payload_bytes,send_ms
165.245.129.215,18201,244.898,zeros,0,none,0,0,,378,741.345
165.245.129.215,18201,244.898,zeros,0,none,1,0,,378,242.238
165.245.129.215,18201,244.898,zeros,0,none,2,0,,378,243.406
165.245.129.215,18201,244.898,zeros,1,none,0,150528,,151066,620.67
165.245.129.215,18201,244.898,zeros,1,none,1,150528,,151066,353.068
165.245.129.215,18201,244.898,zeros,1,none,2,150528,,151066,315.824
165.245.129.215,18201,244.898,zeros,1,60,0,150528,1411,1862,242.369
165.245.129.215,18201,244.898,zeros,1,60,1,150528,1411,1862,243.069
165.245.129.215,18201,244.898,zeros,1,60,2,150528,1411,1862,244.721
165.245.129.215,18201,244.898,zeros,1,40,0,150528,1410,1861,248.98
165.245.129.215,18201,244.898,zeros,1,40,1,150528,1410,1861,243.02
165.245.129.215,18201,244.898,zeros,1,40,2,150528,1410,1861,243.434
165.245.129.215,18201,244.898,zeros,2,none,0,301056,,301650,358.382
165.245.129.215,18201,244.898,zeros,2,none,1,301056,,301650,298.44
165.245.129.215,18201,244.898,zeros,2,none,2,301056,,301650,292.428
165.245.129.215,18201,244.898,zeros,2,60,0,301056,2822,3303,243.558
165.245.129.215,18201,244.898,zeros,2,60,1,301056,2822,3303,251.254
165.245.129.215,18201,244.898,zeros,2,60,2,301056,2822,3303,244.658
165.245.129.215,18201,244.898,zeros,2,40,0,301056,2820,3301,244.19
165.245.129.215,18201,244.898,zeros,2,40,1,301056,2820,3301,244.36
165.245.129.215,18201,244.898,zeros,2,40,2,301056,2820,3301,253.766
165.245.129.215,18201,244.898,random,0,none,0,0,,378,243.45
165.245.129.215,18201,244.898,random,0,none,1,0,,378,242.44
165.245.129.215,18201,244.898,random,0,none,2,0,,378,317.867
165.245.129.215,18201,244.898,random,1,none,0,150528,,151066,305.748
165.245.129.215,18201,244.898,random,1,none,1,150528,,151066,279.235
165.245.129.215,18201,244.898,random,1,none,2,150528,,151066,311.07
165.245.129.215,18201,244.898,random,1,60,0,150528,24296,24747,330.459
165.245.129.215,18201,244.898,random,1,60,1,150528,24394,24845,249.723
165.245.129.215,18201,244.898,random,1,60,2,150528,24396,24847,247.76
165.245.129.215,18201,244.898,random,1,40,0,150528,18009,18460,327.484
165.245.129.215,18201,244.898,random,1,40,1,150528,17987,18438,290.353
165.245.129.215,18201,244.898,random,1,40,2,150528,17838,18289,250.377
165.245.129.215,18201,244.898,random,2,none,0,301056,,301650,343.248
165.245.129.215,18201,244.898,random,2,none,1,301056,,301650,307.801
165.245.129.215,18201,244.898,random,2,none,2,301056,,301650,306.958
165.245.129.215,18201,244.898,random,2,60,0,301056,48731,49212,259.662
165.245.129.215,18201,244.898,random,2,60,1,301056,48768,49249,269.136
165.245.129.215,18201,244.898,random,2,60,2,301056,48648,49129,307.003
165.245.129.215,18201,244.898,random,2,40,0,301056,35929,36410,396.997
165.245.129.215,18201,244.898,random,2,40,1,301056,35939,36420,310.069
165.245.129.215,18201,244.898,random,2,40,2,301056,35922,36403,253.977
