host,port,tcp_connect_ms,image_mode,image_count,jpeg_quality,repeat,raw_image_bytes,encoded_image_bytes,payload_bytes,send_ms
165.245.129.215,18201,287.238,zeros,0,none,0,0,,378,891.8
165.245.129.215,18201,287.238,zeros,0,none,1,0,,378,297.419
165.245.129.215,18201,287.238,zeros,0,none,2,0,,378,241.67
165.245.129.215,18201,287.238,zeros,2,none,0,301056,,301650,2287.318
165.245.129.215,18201,287.238,zeros,2,none,1,301056,,301650,1740.578
165.245.129.215,18201,287.238,zeros,2,none,2,301056,,301650,1630.709
165.245.129.215,18201,287.238,zeros,2,40,0,301056,2820,3301,243.892
165.245.129.215,18201,287.238,zeros,2,40,1,301056,2820,3301,242.957
165.245.129.215,18201,287.238,zeros,2,40,2,301056,2820,3301,238.349
165.245.129.215,18201,287.238,random,0,none,0,0,,378,510.08
165.245.129.215,18201,287.238,random,0,none,1,0,,378,238.895
165.245.129.215,18201,287.238,random,0,none,2,0,,378,316.26
165.245.129.215,18201,287.238,random,2,none,0,301056,,301650,1121.054
165.245.129.215,18201,287.238,random,2,none,1,301056,,301650,778.783
165.245.129.215,18201,287.238,random,2,none,2,301056,,301650,492.638
165.245.129.215,18201,287.238,random,2,40,0,301056,35996,36477,240.222
165.245.129.215,18201,287.238,random,2,40,1,301056,35832,36313,245.698
165.245.129.215,18201,287.238,random,2,40,2,301056,36057,36538,482.646
